EN,EN_without_numbers,,FR_without_numbers,numbers,FR
2412-153947-0016 THIS HOWEVER MAY NOT BE FOR THE COPYRIGHT WILL PROBABLY EXPIRE IN A LITTLE OVER TWELVE YEARS,THIS HOWEVER MAY NOT BE FOR THE COPYRIGHT WILL PROBABLY EXPIRE IN A LITTLE OVER TWELVE YEARS,,"Cependant, cela peut ne pas expirer le droit d'auteur en un peu plus de douze ans",2412-153947-0016 ,"2412-153947-0016 Cependant, cela peut ne pas expirer le droit d'auteur en un peu plus de douze ans"
8842-302196-0000 HE TRANSLATED AT AN EARLY AGE CHIEFLY BETWEEN EIGHTEEN FORTY FIVE AND EIGHTEEN FORTY NINE A GREAT NUMBER OF POEMS BY THE ITALIANS CONTEMPORARY WITH DANTE OR PRECEDING HIM AND AMONG OTHER THINGS HE MADE A VERSION OF THE WHOLE VITA NUOVA PROSE AND VERSE,HE TRANSLATED AT AN EARLY AGE CHIEFLY BETWEEN EIGHTEEN FORTY FIVE AND EIGHTEEN FORTY NINE A GREAT NUMBER OF POEMS BY THE ITALIANS CONTEMPORARY WITH DANTE OR PRECEDING HIM AND AMONG OTHER THINGS HE MADE A VERSION OF THE WHOLE VITA NUOVA PROSE AND VERSE,,"Il a traduit à un âge précoce principalement entre dix-huit quarante-cinq et dix-huit quarante-neuf un grand nombre de poèmes par les Italiens contemporains de Dante ou le précédant et entre autres, il a fait une version de toute la prose et du verset Vita Nuova",8842-302196-0000 ,"8842-302196-0000 Il a traduit à un âge précoce principalement entre dix-huit quarante-cinq et dix-huit quarante-neuf un grand nombre de poèmes par les Italiens contemporains de Dante ou le précédant et entre autres, il a fait une version de toute la prose et du verset Vita Nuova"
8842-302196-0001 THIS BOOK IN ITS ORIGINAL FORM WAS RECEIVED WITH FAVOUR AND SETTLED THE CLAIM OF ROSSETTI TO RANK AS A POETIC TRANSLATOR OR INDEED AS A POET IN HIS OWN RIGHT,THIS BOOK IN ITS ORIGINAL FORM WAS RECEIVED WITH FAVOUR AND SETTLED THE CLAIM OF ROSSETTI TO RANK AS A POETIC TRANSLATOR OR INDEED AS A POET IN HIS OWN RIGHT,,Ce livre dans sa forme originale a été reçu avec faveur et a réglé la revendication de Rossetti de se classer en tant que traducteur poétique ou même en tant que poète à part entière,8842-302196-0001 ,8842-302196-0001 Ce livre dans sa forme originale a été reçu avec faveur et a réglé la revendication de Rossetti de se classer en tant que traducteur poétique ou même en tant que poète à part entière
8842-302196-0002 THE LIFE BLOOD OF RHYTHMICAL TRANSLATION IS THIS COMMANDMENT THAT A GOOD POEM SHALL NOT BE TURNED INTO A BAD ONE,THE LIFE BLOOD OF RHYTHMICAL TRANSLATION IS THIS COMMANDMENT THAT A GOOD POEM SHALL NOT BE TURNED INTO A BAD ONE,,Le sang de vie de la traduction rythmique est ce commandement qu'un bon poème ne sera pas transformé en mauvais,8842-302196-0002 ,8842-302196-0002 Le sang de vie de la traduction rythmique est ce commandement qu'un bon poème ne sera pas transformé en mauvais
8842-302196-0003 THE ONLY TRUE MOTIVE FOR PUTTING POETRY INTO A FRESH LANGUAGE MUST BE TO ENDOW A FRESH NATION AS FAR AS POSSIBLE WITH ONE MORE POSSESSION OF BEAUTY,THE ONLY TRUE MOTIVE FOR PUTTING POETRY INTO A FRESH LANGUAGE MUST BE TO ENDOW A FRESH NATION AS FAR AS POSSIBLE WITH ONE MORE POSSESSION OF BEAUTY,,Le seul véritable motif de mettre la poésie dans une langue fraîche doit être de doter une nation fraîche autant que possible avec une autre possession de beauté,8842-302196-0003 ,8842-302196-0003 Le seul véritable motif de mettre la poésie dans une langue fraîche doit être de doter une nation fraîche autant que possible avec une autre possession de beauté
8842-302196-0004 POETRY NOT BEING AN EXACT SCIENCE LITERALITY OF RENDERING IS ALTOGETHER SECONDARY TO THIS CHIEF LAW,POETRY NOT BEING AN EXACT SCIENCE LITERALITY OF RENDERING IS ALTOGETHER SECONDARY TO THIS CHIEF LAW,,La poésie qui n'est pas une littéralité scientifique exacte du rendu est tout à fait secondaire à cette loi principale,8842-302196-0004 ,8842-302196-0004 La poésie qui n'est pas une littéralité scientifique exacte du rendu est tout à fait secondaire à cette loi principale
8842-302196-0005 OFTEN WOULD HE AVAIL HIMSELF OF ANY SPECIAL GRACE OF HIS OWN IDIOM AND EPOCH IF ONLY HIS WILL BELONGED TO HIM OFTEN WOULD SOME CADENCE SERVE HIM BUT FOR HIS AUTHOR'S STRUCTURE SOME STRUCTURE BUT FOR HIS AUTHOR'S CADENCE OFTEN THE BEAUTIFUL TURN OF A STANZA MUST BE WEAKENED TO ADOPT SOME RHYME WHICH WILL TALLY AND HE SEES THE POET REVELLING IN ABUNDANCE OF LANGUAGE WHERE HIMSELF IS SCANTILY SUPPLIED,OFTEN WOULD HE AVAIL HIMSELF OF ANY SPECIAL GRACE OF HIS OWN IDIOM AND EPOCH IF ONLY HIS WILL BELONGED TO HIM OFTEN WOULD SOME CADENCE SERVE HIM BUT FOR HIS AUTHOR'S STRUCTURE SOME STRUCTURE BUT FOR HIS AUTHOR'S CADENCE OFTEN THE BEAUTIFUL TURN OF A STANZA MUST BE WEAKENED TO ADOPT SOME RHYME WHICH WILL TALLY AND HE SEES THE POET REVELLING IN ABUNDANCE OF LANGUAGE WHERE HIMSELF IS SCANTILY SUPPLIED,,"Souvent, il se prévalait de toute grâce spéciale de son propre idiome et de son époque si seulement sa volonté lui appartenait souvent une cadence le servirait mais pour la structure de son auteur, une structure, mais pour la cadence de son auteur, le beau tour d'une strophe doit être affaibli Adopter une rime qui se comptera et il voit le poète se délecter de l'abondance du langage où lui-même est légèrement fourni",8842-302196-0005 ,"8842-302196-0005 Souvent, il se prévalait de toute grâce spéciale de son propre idiome et de son époque si seulement sa volonté lui appartenait souvent une cadence le servirait mais pour la structure de son auteur, une structure, mais pour la cadence de son auteur, le beau tour d'une strophe doit être affaibli Adopter une rime qui se comptera et il voit le poète se délecter de l'abondance du langage où lui-même est légèrement fourni"
8842-302196-0006 AND IF YOU HAVE TIME IT WOULD BE A GREAT SERVICE TO TRANSLATE THE ANALYSES OF THE POEMS WHICH I OMITTED,AND IF YOU HAVE TIME IT WOULD BE A GREAT SERVICE TO TRANSLATE THE ANALYSES OF THE POEMS WHICH I OMITTED,,"Et si vous avez le temps, ce serait un excellent service pour traduire les analyses des poèmes que j'ai omis",8842-302196-0006 ,"8842-302196-0006 Et si vous avez le temps, ce serait un excellent service pour traduire les analyses des poèmes que j'ai omis"
8842-302196-0007 ON JANUARY TWENTY FIFTH HE WROTE MANY AND MANY THANKS FOR A MOST ESSENTIAL SERVICE MOST THOROUGHLY PERFORMED,ON JANUARY TWENTY FIFTH HE WROTE MANY AND MANY THANKS FOR A MOST ESSENTIAL SERVICE MOST THOROUGHLY PERFORMED,,"Le vingt-cinquième janvier, il a écrit de nombreux merci pour un service le plus essentiel le plus complet",8842-302196-0007 ,"8842-302196-0007 Le vingt-cinquième janvier, il a écrit de nombreux merci pour un service le plus essentiel le plus complet"
8842-302196-0008 MY NOTES WHICH YOU HAVE TAKEN THE TROUBLE OF REVISING ARE OF COURSE QUITE PALTRY AND USELESS,MY NOTES WHICH YOU HAVE TAKEN THE TROUBLE OF REVISING ARE OF COURSE QUITE PALTRY AND USELESS,,Mes notes que vous avez pris la peine de réviser sont bien sûr assez dérisoires et inutiles,8842-302196-0008 ,8842-302196-0008 Mes notes que vous avez pris la peine de réviser sont bien sûr assez dérisoires et inutiles
8842-302196-0009 IT IS THEREFORE AND ON ALL ACCOUNTS UNNECESSARY TO SAY MUCH MORE OF THE WORK HERE THAN IT SAYS FOR ITSELF,IT IS THEREFORE AND ON ALL ACCOUNTS UNNECESSARY TO SAY MUCH MORE OF THE WORK HERE THAN IT SAYS FOR ITSELF,,Il est donc inutile de dire et sur tous les comptes de dire beaucoup plus de travail ici qu'il ne le dit lui-même,8842-302196-0009 ,8842-302196-0009 Il est donc inutile de dire et sur tous les comptes de dire beaucoup plus de travail ici qu'il ne le dit lui-même
8842-302196-0010 THROUGHOUT THE VITA NUOVA THERE IS A STRAIN LIKE THE FIRST FALLING MURMUR WHICH REACHES THE EAR IN SOME REMOTE MEADOW AND PREPARES US TO LOOK UPON THE SEA,THROUGHOUT THE VITA NUOVA THERE IS A STRAIN LIKE THE FIRST FALLING MURMUR WHICH REACHES THE EAR IN SOME REMOTE MEADOW AND PREPARES US TO LOOK UPON THE SEA,,"Tout au long de la Vita Nuova, il y a une tension comme le premier murmure qui tombe qui atteint l'oreille dans une prairie éloignée et nous prépare à regarder la mer",8842-302196-0010 ,"8842-302196-0010 Tout au long de la Vita Nuova, il y a une tension comme le premier murmure qui tombe qui atteint l'oreille dans une prairie éloignée et nous prépare à regarder la mer"
8842-302196-0011 A WORD SHOULD BE SAID HERE OF THE TITLE OF DANTE'S AUTOBIOGRAPHY,A WORD SHOULD BE SAID HERE OF THE TITLE OF DANTE'S AUTOBIOGRAPHY,,Un mot doit être dit ici du titre de l'autobiographie de Dante,8842-302196-0011 ,8842-302196-0011 Un mot doit être dit ici du titre de l'autobiographie de Dante
8842-302196-0012 THIS HAS INDUCED SOME EDITORS OF THE VITA NUOVA TO EXPLAIN THE TITLE AS MEANING EARLY LIFE,THIS HAS INDUCED SOME EDITORS OF THE VITA NUOVA TO EXPLAIN THE TITLE AS MEANING EARLY LIFE,,Cela a induit certains éditeurs de la Vita Nuova pour expliquer le titre comme signifiant le début de la vie,8842-302196-0012 ,8842-302196-0012 Cela a induit certains éditeurs de la Vita Nuova pour expliquer le titre comme signifiant le début de la vie
8842-302201-0000 THEREAFTER THIS SONNET BRED IN ME DESIRE TO WRITE DOWN IN VERSE FOUR OTHER THINGS TOUCHING MY CONDITION THE WHICH THINGS IT SEEMED TO ME THAT I HAD NOT YET MADE MANIFEST,THEREAFTER THIS SONNET BRED IN ME DESIRE TO WRITE DOWN IN VERSE FOUR OTHER THINGS TOUCHING MY CONDITION THE WHICH THINGS IT SEEMED TO ME THAT I HAD NOT YET MADE MANIFEST,,"Par la suite, ce sonnet s'est élevé en moi désir d'écrire au verset quatre autres choses touchant ma condition, ce que les choses me semblaient que je n'avais pas encore fait manifester",8842-302201-0000 ,"8842-302201-0000 Par la suite, ce sonnet s'est élevé en moi désir d'écrire au verset quatre autres choses touchant ma condition, ce que les choses me semblaient que je n'avais pas encore fait manifester"
8842-302201-0001 WHICH THING BEING THUS THERE CAME A DAY WHEN CERTAIN LADIES TO WHOM IT WAS WELL KNOWN THEY HAVING BEEN WITH ME AT DIVERS TIMES IN MY TROUBLE WERE MET TOGETHER FOR THE PLEASURE OF GENTLE COMPANY,WHICH THING BEING THUS THERE CAME A DAY WHEN CERTAIN LADIES TO WHOM IT WAS WELL KNOWN THEY HAVING BEEN WITH ME AT DIVERS TIMES IN MY TROUBLE WERE MET TOGETHER FOR THE PLEASURE OF GENTLE COMPANY,,Quelle chose qui y était ainsi est venue un jour où certaines dames à qui il était bien connu qu'ils étaient avec moi à des moments divers dans mes ennuis ont été rencontrés ensemble pour le plaisir de la compagnie douce,8842-302201-0001 ,8842-302201-0001 Quelle chose qui y était ainsi est venue un jour où certaines dames à qui il était bien connu qu'ils étaient avec moi à des moments divers dans mes ennuis ont été rencontrés ensemble pour le plaisir de la compagnie douce
8842-302201-0002 BUT WHEN I STILL SPAKE NOT ONE OF THEM WHO BEFORE HAD BEEN TALKING WITH ANOTHER ADDRESSED ME BY MY NAME SAYING TO WHAT END LOVEST THOU THIS LADY SEEING THAT THOU CANST NOT SUPPORT HER PRESENCE,BUT WHEN I STILL SPAKE NOT ONE OF THEM WHO BEFORE HAD BEEN TALKING WITH ANOTHER ADDRESSED ME BY MY NAME SAYING TO WHAT END LOVEST THOU THIS LADY SEEING THAT THOU CANST NOT SUPPORT HER PRESENCE,,"Mais quand je paraissais encore, pas l'un d'eux qui avait déjà parlé avec un autre m'a dit par mon nom en disant à ce que tu aimes, cette dame, voyez que tu ne soutiens pas sa présence",8842-302201-0002 ,"8842-302201-0002 Mais quand je paraissais encore, pas l'un d'eux qui avait déjà parlé avec un autre m'a dit par mon nom en disant à ce que tu aimes, cette dame, voyez que tu ne soutiens pas sa présence"
8842-302201-0003 AND NOW THAT IT HATH PLEASED HER TO DENY ME THIS LOVE MY MASTER OF HIS GREAT GOODNESS HATH PLACED ALL MY BEATITUDE THERE WHERE MY HOPE WILL NOT FAIL ME,AND NOW THAT IT HATH PLEASED HER TO DENY ME THIS LOVE MY MASTER OF HIS GREAT GOODNESS HATH PLACED ALL MY BEATITUDE THERE WHERE MY HOPE WILL NOT FAIL ME,,Et maintenant que cela lui a eu plaisir de me nier cet amour que mon maître de sa grande bonté a placé toute ma béatitude là-bas où mon espoir ne me manquera pas,8842-302201-0003 ,8842-302201-0003 Et maintenant que cela lui a eu plaisir de me nier cet amour que mon maître de sa grande bonté a placé toute ma béatitude là-bas où mon espoir ne me manquera pas
8842-302201-0004 THEN THOSE LADIES BEGAN TO TALK CLOSELY TOGETHER AND AS I HAVE SEEN SNOW FALL AMONG THE RAIN SO WAS THEIR TALK MINGLED WITH SIGHS,THEN THOSE LADIES BEGAN TO TALK CLOSELY TOGETHER AND AS I HAVE SEEN SNOW FALL AMONG THE RAIN SO WAS THEIR TALK MINGLED WITH SIGHS,,"Ensuite, ces dames ont commencé à parler étroitement et comme j'ai vu la neige tomber parmi la pluie, alors leur conversation était mélangée avec des soupirs",8842-302201-0004 ,"8842-302201-0004 Ensuite, ces dames ont commencé à parler étroitement et comme j'ai vu la neige tomber parmi la pluie, alors leur conversation était mélangée avec des soupirs"
8842-302201-0005 AND I DECLARE THAT WHEN I SPEAK THEREOF LOVE SHEDS SUCH PERFECT SWEETNESS OVER ME THAT IF MY COURAGE FAILED NOT CERTAINLY TO HIM MY LISTENERS MUST BE ALL RESIGN'D,AND I DECLARE THAT WHEN I SPEAK THEREOF LOVE SHEDS SUCH PERFECT SWEETNESS OVER ME THAT IF MY COURAGE FAILED NOT CERTAINLY TO HIM MY LISTENERS MUST BE ALL RESIGN'D,,"Et je déclare que quand je parle de celui-ci, l'amour jette une douceur si parfaite sur moi que si mon courage échoue, pas certainement pour lui, mes auditeurs doivent être tous démissionnels",8842-302201-0005 ,"8842-302201-0005 Et je déclare que quand je parle de celui-ci, l'amour jette une douceur si parfaite sur moi que si mon courage échoue, pas certainement pour lui, mes auditeurs doivent être tous démissionnels"
8842-302201-0006 WHATEVER HER SWEET EYES ARE TURNED UPON SPIRITS OF LOVE DO ISSUE THENCE IN FLAME WHICH THROUGH THEIR EYES WHO THEN MAY LOOK ON THEM PIERCE TO THE HEART'S DEEP CHAMBER EVERY ONE,WHATEVER HER SWEET EYES ARE TURNED UPON SPIRITS OF LOVE DO ISSUE THENCE IN FLAME WHICH THROUGH THEIR EYES WHO THEN MAY LOOK ON THEM PIERCE TO THE HEART'S DEEP CHAMBER EVERY ONE,,"Quels que soient ses douces yeux tournés sur les esprits de l'amour, il est de là dans la flamme qui, à travers leurs yeux qui peuvent ensuite les regarder",8842-302201-0006 ,"8842-302201-0006 Quels que soient ses douces yeux tournés sur les esprits de l'amour, il est de là dans la flamme qui, à travers leurs yeux qui peuvent ensuite les regarder"
8842-302201-0007 TO HER I WEND ALONG IN WHOSE MUCH STRENGTH MY WEAKNESS IS MADE STRONG,TO HER I WEND ALONG IN WHOSE MUCH STRENGTH MY WEAKNESS IS MADE STRONG,,"Pour elle, je suis en train de faire beaucoup de force, ma faiblesse est rendue forte",8842-302201-0007 ,"8842-302201-0007 Pour elle, je suis en train de faire beaucoup de force, ma faiblesse est rendue forte"
8842-302201-0008 SO TO THE ROAD THOU SHALT BE RECONCILED AND FIND THE LADY AND WITH THE LADY LOVE,SO TO THE ROAD THOU SHALT BE RECONCILED AND FIND THE LADY AND WITH THE LADY LOVE,,"Alors sur la route, tu seras réconcilié et trouvez la dame et avec la dame amoureuse",8842-302201-0008 ,"8842-302201-0008 Alors sur la route, tu seras réconcilié et trouvez la dame et avec la dame amoureuse"
8842-302201-0009 THE SECOND BEGINS HERE AN ANGEL THE THIRD HERE DEAR SONG I KNOW,THE SECOND BEGINS HERE AN ANGEL THE THIRD HERE DEAR SONG I KNOW,,Le second commence ici un ange le troisième ici chère chanson que je connais,8842-302201-0009 ,8842-302201-0009 Le second commence ici un ange le troisième ici chère chanson que je connais
8842-302201-0010 THE FIRST PART IS DIVIDED INTO FOUR,THE FIRST PART IS DIVIDED INTO FOUR,,La première partie est divisée en quatre,8842-302201-0010 ,8842-302201-0010 La première partie est divisée en quatre
8842-302201-0011 IN THE THIRD I SAY WHAT IT IS I PURPOSE TO SPEAK SO AS NOT TO BE IMPEDED BY FAINTHEARTEDNESS,IN THE THIRD I SAY WHAT IT IS I PURPOSE TO SPEAK SO AS NOT TO BE IMPEDED BY FAINTHEARTEDNESS,,"Dans le troisième, je dis ce que c'est que je but de parler afin de ne pas être entravé par la baisse",8842-302201-0011 ,"8842-302201-0011 Dans le troisième, je dis ce que c'est que je but de parler afin de ne pas être entravé par la baisse"
8842-302201-0012 IN THE FOURTH REPEATING TO WHOM I PURPOSE SPEAKING I TELL THE REASON WHY I SPEAK TO THEM,IN THE FOURTH REPEATING TO WHOM I PURPOSE SPEAKING I TELL THE REASON WHY I SPEAK TO THEM,,"Dans le quatrième répétition à qui je mets en parlant, je dis la raison pour laquelle je leur parle",8842-302201-0012 ,"8842-302201-0012 Dans le quatrième répétition à qui je mets en parlant, je dis la raison pour laquelle je leur parle"
8842-302201-0013 IN THE SECOND I TELL WHAT IS UNDERSTOOD OF HER ON EARTH HERE MY LADY IS DESIRED,IN THE SECOND I TELL WHAT IS UNDERSTOOD OF HER ON EARTH HERE MY LADY IS DESIRED,,"Dans la seconde, je dis ce qui est compris d'elle sur terre ici, ma dame est désirée",8842-302201-0013 ,"8842-302201-0013 Dans la seconde, je dis ce qui est compris d'elle sur terre ici, ma dame est désirée"
8842-302201-0014 THIS SECOND PART IS DIVIDED INTO TWO FOR IN THE FIRST I SPEAK OF HER AS REGARDS THE NOBLENESS OF HER SOUL RELATING SOME OF HER VIRTUES PROCEEDING FROM HER SOUL IN THE SECOND I SPEAK OF HER AS REGARDS THE NOBLENESS OF HER BODY NARRATING SOME OF HER BEAUTIES HERE LOVE SAITH CONCERNING HER,THIS SECOND PART IS DIVIDED INTO TWO FOR IN THE FIRST I SPEAK OF HER AS REGARDS THE NOBLENESS OF HER SOUL RELATING SOME OF HER VIRTUES PROCEEDING FROM HER SOUL IN THE SECOND I SPEAK OF HER AS REGARDS THE NOBLENESS OF HER BODY NARRATING SOME OF HER BEAUTIES HERE LOVE SAITH CONCERNING HER,,"Cette deuxième partie est divisée en deux car dans le premier, je parle d'elle en ce qui concerne la noblesse de son âme reliant certaines de ses vertus procédant de son âme dans la seconde, je parle d'elle en ce qui concerne la noblesse de son corps narrant certaines de ses beautés Ici, je l'aime concernant elle",8842-302201-0014 ,"8842-302201-0014 Cette deuxième partie est divisée en deux car dans le premier, je parle d'elle en ce qui concerne la noblesse de son âme reliant certaines de ses vertus procédant de son âme dans la seconde, je parle d'elle en ce qui concerne la noblesse de son corps narrant certaines de ses beautés Ici, je l'aime concernant elle"
8842-302201-0015 THIS SECOND PART IS DIVIDED INTO TWO FOR IN THE ONE I SPEAK OF THE EYES WHICH ARE THE BEGINNING OF LOVE IN THE SECOND I SPEAK OF THE MOUTH WHICH IS THE END OF LOVE,THIS SECOND PART IS DIVIDED INTO TWO FOR IN THE ONE I SPEAK OF THE EYES WHICH ARE THE BEGINNING OF LOVE IN THE SECOND I SPEAK OF THE MOUTH WHICH IS THE END OF LOVE,,"Cette deuxième partie est divisée en deux car dans celle, je parle des yeux qui sont le début de l'amour dans le second je parle de la bouche qui est la fin de l'amour",8842-302201-0015 ,"8842-302201-0015 Cette deuxième partie est divisée en deux car dans celle, je parle des yeux qui sont le début de l'amour dans le second je parle de la bouche qui est la fin de l'amour"
8842-302203-0000 AND AT THE FIRST IT SEEMED TO ME THAT I SAW CERTAIN FACES OF WOMEN WITH THEIR HAIR LOOSENED WHICH CALLED OUT TO ME THOU SHALT SURELY DIE AFTER THE WHICH OTHER TERRIBLE AND UNKNOWN APPEARANCES SAID UNTO ME THOU ART DEAD,AND AT THE FIRST IT SEEMED TO ME THAT I SAW CERTAIN FACES OF WOMEN WITH THEIR HAIR LOOSENED WHICH CALLED OUT TO ME THOU SHALT SURELY DIE AFTER THE WHICH OTHER TERRIBLE AND UNKNOWN APPEARANCES SAID UNTO ME THOU ART DEAD,,"Et au premier, il me semblait que j'ai vu certains visages de femmes avec leurs cheveux desserrés qui m'ont appelé tu mourras sûrement après que les autres apparitions terribles et inconnues m'ont dit que tu es mort",8842-302203-0000 ,"8842-302203-0000 Et au premier, il me semblait que j'ai vu certains visages de femmes avec leurs cheveux desserrés qui m'ont appelé tu mourras sûrement après que les autres apparitions terribles et inconnues m'ont dit que tu es mort"
8842-302203-0001 AND SO STRONG WAS MY PHANTASY THAT I WEPT AGAIN IN VERY TRUTH AND SAID WITH MY TRUE VOICE O EXCELLENT SOUL HOW BLESSED IS HE THAT NOW LOOKETH UPON THEE,AND SO STRONG WAS MY PHANTASY THAT I WEPT AGAIN IN VERY TRUTH AND SAID WITH MY TRUE VOICE O EXCELLENT SOUL HOW BLESSED IS HE THAT NOW LOOKETH UPON THEE,,Et si fort était mon fantasme que j'ai pleuré à nouveau dans la très vérité et dit avec ma vraie voix O Excellent âme à quel point il est béni qui vous regarde maintenant,8842-302203-0001 ,8842-302203-0001 Et si fort était mon fantasme que j'ai pleuré à nouveau dans la très vérité et dit avec ma vraie voix O Excellent âme à quel point il est béni qui vous regarde maintenant
8842-302203-0002 WHEREBY OTHER LADIES WHO WERE ABOUT THE ROOM BECOMING AWARE OF MY DISCOMFORT BY REASON OF THE MOAN THAT SHE MADE WHO INDEED WAS OF MY VERY NEAR KINDRED LED HER AWAY FROM WHERE I WAS AND THEN SET THEMSELVES TO AWAKEN ME THINKING THAT I DREAMED AND SAYING SLEEP NO LONGER AND BE NOT DISQUIETED,WHEREBY OTHER LADIES WHO WERE ABOUT THE ROOM BECOMING AWARE OF MY DISCOMFORT BY REASON OF THE MOAN THAT SHE MADE WHO INDEED WAS OF MY VERY NEAR KINDRED LED HER AWAY FROM WHERE I WAS AND THEN SET THEMSELVES TO AWAKEN ME THINKING THAT I DREAMED AND SAYING SLEEP NO LONGER AND BE NOT DISQUIETED,,Par où d'autres dames qui parlaient de la pièce prenant conscience de mon inconfort en raison du gémissement qu'elle a fait qui était en effet de ma nature très proche l'a éloignée de l'endroit où j'étais et s'est ensuite mis à me réveiller en pensant que je rêvais et à dire du sommeil Plus et ne pas être inquiétant,8842-302203-0002 ,8842-302203-0002 Par où d'autres dames qui parlaient de la pièce prenant conscience de mon inconfort en raison du gémissement qu'elle a fait qui était en effet de ma nature très proche l'a éloignée de l'endroit où j'étais et s'est ensuite mis à me réveiller en pensant que je rêvais et à dire du sommeil Plus et ne pas être inquiétant
8842-302203-0003 WHEN BEING AROUSED I OPENED MINE EYES AND KNEW THAT IT HAD BEEN A DECEPTION,WHEN BEING AROUSED I OPENED MINE EYES AND KNEW THAT IT HAD BEEN A DECEPTION,,"Quand je suis excité, j'ai ouvert les yeux et je savais que c'était une tromperie",8842-302203-0003 ,"8842-302203-0003 Quand je suis excité, j'ai ouvert les yeux et je savais que c'était une tromperie"
8842-302203-0004 AND MY HUE WAS SUCH THAT THEY LOOK'D AT EACH OTHER AND THOUGHT OF DEATH SAYING UNDER THEIR BREATH MOST TENDERLY O LET US COMFORT HIM THEN UNTO ME WHAT DREAM WAS THINE THAT IT HATH SHAKEN THEE SO MUCH,AND MY HUE WAS SUCH THAT THEY LOOK'D AT EACH OTHER AND THOUGHT OF DEATH SAYING UNDER THEIR BREATH MOST TENDERLY O LET US COMFORT HIM THEN UNTO ME WHAT DREAM WAS THINE THAT IT HATH SHAKEN THEE SO MUCH,,"Et ma teinte était telle qu'ils se regardaient et pensaient à la mort disant sous leur souffle le plus tendrement, nous nous le réconforter",8842-302203-0004 ,"8842-302203-0004 Et ma teinte était telle qu'ils se regardaient et pensaient à la mort disant sous leur souffle le plus tendrement, nous nous le réconforter"
8842-302203-0005 AND THEREWITHAL SUCH A BEWILDERMENT POSSESS'D ME THAT I SHUT MINE EYES FOR PEACE AND IN MY BRAIN DID CEASE ORDER OF THOUGHT AND EVERY HEALTHFUL THING,AND THEREWITHAL SUCH A BEWILDERMENT POSSESS'D ME THAT I SHUT MINE EYES FOR PEACE AND IN MY BRAIN DID CEASE ORDER OF THOUGHT AND EVERY HEALTHFUL THING,,"Et là, une telle perplexité me possédait que j'ai fermé les yeux pour la paix et dans mon cerveau cessé l'ordre de pensée et chaque chose saine",8842-302203-0005 ,"8842-302203-0005 Et là, une telle perplexité me possédait que j'ai fermé les yeux pour la paix et dans mon cerveau cessé l'ordre de pensée et chaque chose saine"
8842-302203-0006 THEN SAW I MANY BROKEN HINTED SIGHTS IN THE UNCERTAIN STATE I STEPP'D INTO,THEN SAW I MANY BROKEN HINTED SIGHTS IN THE UNCERTAIN STATE I STEPP'D INTO,,Puis j'ai vu que beaucoup de viseurs ont laissé entendre dans l'état incertain dans lequel je mettais en marche dans,8842-302203-0006 ,8842-302203-0006 Puis j'ai vu que beaucoup de viseurs ont laissé entendre dans l'état incertain dans lequel je mettais en marche dans
8842-302203-0007 THESE WILDERING PHANTASIES THEN CARRIED ME TO SEE MY LADY DEAD,THESE WILDERING PHANTASIES THEN CARRIED ME TO SEE MY LADY DEAD,,Ces fantasmes sauvages m'ont alors transporté pour voir ma dame morte,8842-302203-0007 ,8842-302203-0007 Ces fantasmes sauvages m'ont alors transporté pour voir ma dame morte
8842-302203-0008 THE SECOND PART BEGINS HERE I WAS A THINKING THE FIRST PART DIVIDES INTO TWO,THE SECOND PART BEGINS HERE I WAS A THINKING THE FIRST PART DIVIDES INTO TWO,,"La deuxième partie commence ici, j'étais une pensée que la première partie se divise en deux",8842-302203-0008 ,"8842-302203-0008 La deuxième partie commence ici, j'étais une pensée que la première partie se divise en deux"
8842-302203-0009 THIS LADY'S RIGHT NAME WAS JOAN BUT BECAUSE OF HER COMELINESS OR AT LEAST IT WAS SO IMAGINED SHE WAS CALLED OF MANY PRIMAVERA SPRING AND WENT BY THAT NAME AMONG THEM,THIS LADY'S RIGHT NAME WAS JOAN BUT BECAUSE OF HER COMELINESS OR AT LEAST IT WAS SO IMAGINED SHE WAS CALLED OF MANY PRIMAVERA SPRING AND WENT BY THAT NAME AMONG THEM,,"Le nom du droit de cette dame était Joan mais à cause de sa venue ou du moins, il était si imaginé qu'elle était appelée de nombreux printemps de Primavera et passait ce nom parmi eux",8842-302203-0009 ,"8842-302203-0009 Le nom du droit de cette dame était Joan mais à cause de sa venue ou du moins, il était si imaginé qu'elle était appelée de nombreux printemps de Primavera et passait ce nom parmi eux"
